column_name,role,data_type,nullable,source_field,question_id,question_type,applicable_categories,allowed_values,missing_meaning,description
answer__is_accessing_this_material_the_primary_purpose_of_the_ap_1bd1703c,raw_feature_candidate,categorical string,no,questionStates.options[selected=true],is_accessing_this_material_the_primary_purpose_of_the_ap_1bd1703c,radio,All Other App Types,No || Yes || __INACTIVE__ || __NOT_APPLICABLE__,__INACTIVE__=branch inactive; __NOT_APPLICABLE__=question not used by category; __NONE__=active checkbox with no selection.,Is accessing this material the primary purpose of the app?
answer__is_any_of_this_content_in_an_erotic_provocative_setting__11eb2959,raw_feature_candidate,categorical string,no,questionStates.options[selected=true],is_any_of_this_content_in_an_erotic_provocative_setting__11eb2959,radio,All Other App Types || Game,No || Yes || __INACTIVE__ || __NOT_APPLICABLE__,__INACTIVE__=branch inactive; __NOT_APPLICABLE__=question not used by category; __NONE__=active checkbox with no selection.,"Is any of this content in an erotic, provocative setting or context?"
answer__is_any_of_this_violence_against_real_world_animals_6fc80a86,raw_feature_candidate,categorical string,no,questionStates.options[selected=true],is_any_of_this_violence_against_real_world_animals_6fc80a86,radio,All Other App Types || Game,No || Yes || __INACTIVE__ || __NOT_APPLICABLE__,__INACTIVE__=branch inactive; __NOT_APPLICABLE__=question not used by category; __NONE__=active checkbox with no selection.,Is any of this violence against real-world animals?
answer__is_shared_user_generated_content_the_primary_source_of_c_ccfc5be7,raw_feature_candidate,categorical string,no,questionStates.options[selected=true],is_shared_user_generated_content_the_primary_source_of_c_ccfc5be7,radio,All Other App Types,No || Yes || __INACTIVE__ || __NOT_APPLICABLE__,__INACTIVE__=branch inactive; __NOT_APPLICABLE__=question not used by category; __NONE__=active checkbox with no selection.,"Is shared, user-generated content the primary source of content in the app?"
answer__is_the_app_a_web_browser_or_search_engine_15f398d7,raw_feature_candidate,categorical string,no,questionStates.options[selected=true],is_the_app_a_web_browser_or_search_engine_15f398d7,radio,All Other App Types,No || Yes || __INACTIVE__ || __NOT_APPLICABLE__,__INACTIVE__=branch inactive; __NOT_APPLICABLE__=question not used by category; __NONE__=active checkbox with no selection.,Is the app a web browser or search engine?
answer__is_the_app_primarily_a_news_or_educational_product_44733801,raw_feature_candidate,categorical string,no,questionStates.options[selected=true],is_the_app_primarily_a_news_or_educational_product_44733801,radio,All Other App Types,No || Yes || __INACTIVE__ || __NOT_APPLICABLE__,__INACTIVE__=branch inactive; __NOT_APPLICABLE__=question not used by category; __NONE__=active checkbox with no selection.,Is the app primarily a news or educational product?
answer__is_the_issuance_of_these_digital_assets_a_significant_or_60d212c2,raw_feature_candidate,categorical string,no,questionStates.options[selected=true],is_the_issuance_of_these_digital_assets_a_significant_or_60d212c2,radio,All Other App Types || Game,No || Yes || __INACTIVE__ || __NOT_APPLICABLE__,__INACTIVE__=branch inactive; __NOT_APPLICABLE__=question not used by category; __NONE__=active checkbox with no selection.,Is the issuance of these digital assets a significant or promoted aspect of the product?
answer__is_the_use_of_illegal_or_recreational_drugs_interactive_0bbcd975,raw_feature_candidate,categorical string,no,questionStates.options[selected=true],is_the_use_of_illegal_or_recreational_drugs_interactive_0bbcd975,radio,All Other App Types || Game,No || Yes || __INACTIVE__ || __NOT_APPLICABLE__,__INACTIVE__=branch inactive; __NOT_APPLICABLE__=question not used by category; __NONE__=active checkbox with no selection.,Is the use of illegal or recreational drugs interactive?
answer__is_the_use_of_illegal_or_recreational_drugs_related_to_i_368c1654,raw_feature_candidate,categorical string,no,questionStates.options[selected=true],is_the_use_of_illegal_or_recreational_drugs_related_to_i_368c1654,radio,All Other App Types || Game,No || Yes || __INACTIVE__ || __NOT_APPLICABLE__,__INACTIVE__=branch inactive; __NOT_APPLICABLE__=question not used by category; __NONE__=active checkbox with no selection.,Is the use of illegal or recreational drugs related to incentives or rewards?
answer__is_there_an_intense_and_unrelenting_sense_of_imminent_th_91f93ed6,raw_feature_candidate,categorical string,no,questionStates.options[selected=true],is_there_an_intense_and_unrelenting_sense_of_imminent_th_91f93ed6,radio,All Other App Types || Game,No || Yes || __INACTIVE__ || __NOT_APPLICABLE__,__INACTIVE__=branch inactive; __NOT_APPLICABLE__=question not used by category; __NONE__=active checkbox with no selection.,Is there an intense and unrelenting sense of imminent threat?
answer__is_this_content_the_focus_of_the_app_01edd6fa,raw_feature_candidate,categorical string,no,questionStates.options[selected=true],is_this_content_the_focus_of_the_app_01edd6fa,radio,All Other App Types,No || Yes || __INACTIVE__ || __NOT_APPLICABLE__,__INACTIVE__=branch inactive; __NOT_APPLICABLE__=question not used by category; __NONE__=active checkbox with no selection.,Is this content the focus of the app?
answer__is_this_the_primary_focus_of_the_app_abad8299,raw_feature_candidate,categorical string,no,questionStates.options[selected=true],is_this_the_primary_focus_of_the_app_abad8299,radio,All Other App Types || Social or Communication,No || Yes || __INACTIVE__ || __NOT_APPLICABLE__,__INACTIVE__=branch inactive; __NOT_APPLICABLE__=question not used by category; __NONE__=active checkbox with no selection.,Is this the primary focus of the app?
answer__medical_drugs_32c6cc3e,raw_feature_candidate,categorical string,no,questionStates.options[selected=true],medical_drugs_32c6cc3e,checkbox,All Other App Types || Game,Encourages/Glamorizes || Reference || Use || __NONE__ || __INACTIVE__ || __NOT_APPLICABLE__,__INACTIVE__=branch inactive; __NOT_APPLICABLE__=question not used by category; __NONE__=active checkbox with no selection.,Medical Drugs
answer__please_select_all_that_the_app_includes_18adc531,raw_feature_candidate,categorical string,no,questionStates.options[selected=true],please_select_all_that_the_app_includes_18adc531,checkbox,All Other App Types,"Discriminatory language (against race, religion, sex, etc...) || Minor profanities (e.g., ""go to hell"") || Moderate swearing or other language or gestures that could be considered moderately or significantly offensive || Sexual expletives || __NONE__ || __INACTIVE__ || __NOT_APPLICABLE__",__INACTIVE__=branch inactive; __NOT_APPLICABLE__=question not used by category; __NONE__=active checkbox with no selection.,Please select all that the app includes:
answer__please_select_all_that_the_app_includes_24d1114b,raw_feature_candidate,categorical string,no,questionStates.options[selected=true],please_select_all_that_the_app_includes_24d1114b,checkbox,All Other App Types,Nudity || Revealing Outfits || __NONE__ || __INACTIVE__ || __NOT_APPLICABLE__,__INACTIVE__=branch inactive; __NOT_APPLICABLE__=question not used by category; __NONE__=active checkbox with no selection.,Please select all that the app includes:
answer__please_select_all_that_the_app_includes_4715352d,raw_feature_candidate,categorical string,no,questionStates.options[selected=true],please_select_all_that_the_app_includes_4715352d,checkbox,All Other App Types,"Cash Convertible Rewards - Cash rewards, real-world items of significant monetary value, convertible cryptocurrency rewards or other play-to-earn mechanics || Issuance (e.g., minting) of transferable digital assets (e.g., NFTs) || __NONE__ || __INACTIVE__ || __NOT_APPLICABLE__",__INACTIVE__=branch inactive; __NOT_APPLICABLE__=question not used by category; __NONE__=active checkbox with no selection.,Please select all that the app includes:
answer__please_select_all_that_the_app_includes_4cf49f6e,raw_feature_candidate,categorical string,no,questionStates.options[selected=true],please_select_all_that_the_app_includes_4cf49f6e,checkbox,All Other App Types,Horrifying elements || Scary elements || __NONE__ || __INACTIVE__ || __NOT_APPLICABLE__,__INACTIVE__=branch inactive; __NOT_APPLICABLE__=question not used by category; __NONE__=active checkbox with no selection.,Please select all that the app includes:
answer__please_select_all_that_the_app_includes_6686a0fa,raw_feature_candidate,categorical string,no,questionStates.options[selected=true],please_select_all_that_the_app_includes_6686a0fa,checkbox,All Other App Types,Alcohol || Fantasy Drugs || Illegal or Recreational Drugs || Medical Drugs || Tobacco || __NONE__ || __INACTIVE__ || __NOT_APPLICABLE__,__INACTIVE__=branch inactive; __NOT_APPLICABLE__=question not used by category; __NONE__=active checkbox with no selection.,Please select all that the app includes:
answer__please_select_all_that_the_app_includes_8940577b,raw_feature_candidate,categorical string,no,questionStates.options[selected=true],please_select_all_that_the_app_includes_8940577b,checkbox,All Other App Types,"Blood that isn't directly related to a violent act (e.g., blood on clothing, blood in the background, blood resulting from performing surgery) || Disturbing or gory images without a violent act shown. || Violence against anything other than humans (e.g., animals, fantasy creatures, robots, vehicles) || Violence or implied violence against humans || __NONE__ || __INACTIVE__ || __NOT_APPLICABLE__",__INACTIVE__=branch inactive; __NOT_APPLICABLE__=question not used by category; __NONE__=active checkbox with no selection.,Please select all that the app includes:
answer__please_select_all_that_the_app_includes_8aa332fd,raw_feature_candidate,categorical string,no,questionStates.options[selected=true],please_select_all_that_the_app_includes_8aa332fd,checkbox,All Other App Types,"Female Fantasy Creatures' Breasts, e.g., harpies || Female Human Breasts with Nipples || Genitalia || Human Buttocks || Nipple-less Breasts or Breasts with Minimal Coverage, e.g., pasties, long hair || __NONE__ || __INACTIVE__ || __NOT_APPLICABLE__",__INACTIVE__=branch inactive; __NOT_APPLICABLE__=question not used by category; __NONE__=active checkbox with no selection.,Please select all that the app includes:
answer__please_select_all_that_the_app_includes_b82bc521,raw_feature_candidate,categorical string,no,questionStates.options[selected=true],please_select_all_that_the_app_includes_b82bc521,checkbox,All Other App Types,"Any other games that use in-app currency/tokens to play and can reward the same currency through gameplay. || Gambling themes || Playable bingo games || Playable casino games, lotteries, or racetrack betting || __NONE__ || __INACTIVE__ || __NOT_APPLICABLE__",__INACTIVE__=branch inactive; __NOT_APPLICABLE__=question not used by category; __NONE__=active checkbox with no selection.,Please select all that the app includes:
answer__please_select_all_that_the_app_includes_be745a55,raw_feature_candidate,categorical string,no,questionStates.options[selected=true],please_select_all_that_the_app_includes_be745a55,checkbox,All Other App Types,Depictions of or References to Sexual Violence || Nudity or Revealing Outfits || Sexual Activity - Includes both moving and still images of sexual activity || Suggestive/Sexual Themes or References || __NONE__ || __INACTIVE__ || __NOT_APPLICABLE__,__INACTIVE__=branch inactive; __NOT_APPLICABLE__=question not used by category; __NONE__=active checkbox with no selection.,Please select all that the app includes:
answer__please_select_all_that_the_game_includes_44d3634e,raw_feature_candidate,categorical string,no,questionStates.options[selected=true],please_select_all_that_the_game_includes_44d3634e,checkbox,Game,"Female Fantasy Creatures' Breasts, e.g., harpies || Female Human Breasts with Nipples || Genitalia || Human Buttocks || Nipple-less Breasts or Breasts with Minimal Coverage, e.g., pasties, long hair || __NONE__ || __INACTIVE__ || __NOT_APPLICABLE__",__INACTIVE__=branch inactive; __NOT_APPLICABLE__=question not used by category; __NONE__=active checkbox with no selection.,Please select all that the game includes:
answer__please_select_all_that_the_game_includes_4e162967,raw_feature_candidate,categorical string,no,questionStates.options[selected=true],please_select_all_that_the_game_includes_4e162967,checkbox,Game,"Cash Convertible Rewards - Cash rewards, real-world items of significant monetary value, convertible cryptocurrency rewards or other play-to-earn mechanics || Issuance (e.g., minting) of transferable digital assets (e.g., NFTs) || Purchases of digital goods || __NONE__ || __INACTIVE__ || __NOT_APPLICABLE__",__INACTIVE__=branch inactive; __NOT_APPLICABLE__=question not used by category; __NONE__=active checkbox with no selection.,Please select all that the game includes:
answer__please_select_all_that_the_game_includes_500aa428,raw_feature_candidate,categorical string,no,questionStates.options[selected=true],please_select_all_that_the_game_includes_500aa428,checkbox,Game,"Discriminatory language (against race, religion, sex, etc...) || Minor profanities (e.g., ""go to hell"") || Moderate swearing or other language or gestures that could be considered moderately or significantly offensive || Sexual expletives || __NONE__ || __INACTIVE__ || __NOT_APPLICABLE__",__INACTIVE__=branch inactive; __NOT_APPLICABLE__=question not used by category; __NONE__=active checkbox with no selection.,Please select all that the game includes:
answer__please_select_all_that_the_game_includes_768feb67,raw_feature_candidate,categorical string,no,questionStates.options[selected=true],please_select_all_that_the_game_includes_768feb67,checkbox,Game,"Dating Games - Interactive dating, marriage, or other romantic relationships between game characters || Depictions of or References to Sexual Violence || Nudity or Revealing Outfits || Sexual Activity - Includes both moving and still images of sexual activity || Suggestive/Sexual Themes or References || __NONE__ || __INACTIVE__ || __NOT_APPLICABLE__",__INACTIVE__=branch inactive; __NOT_APPLICABLE__=question not used by category; __NONE__=active checkbox with no selection.,Please select all that the game includes:
answer__please_select_all_that_the_game_includes_a0533f3c,raw_feature_candidate,categorical string,no,questionStates.options[selected=true],please_select_all_that_the_game_includes_a0533f3c,checkbox,Game,"Blood that isn't directly related to a violent act (e.g., blood on clothing, blood in the background, blood resulting from performing surgery) || Disturbing or gory images without a violent act shown. || Violence against anything other than humans (e.g., animals, fantasy creatures, robots, vehicles) || Violence or implied violence against humans || __NONE__ || __INACTIVE__ || __NOT_APPLICABLE__",__INACTIVE__=branch inactive; __NOT_APPLICABLE__=question not used by category; __NONE__=active checkbox with no selection.,Please select all that the game includes:
answer__please_select_all_that_the_game_includes_a17b785f,raw_feature_candidate,categorical string,no,questionStates.options[selected=true],please_select_all_that_the_game_includes_a17b785f,checkbox,Game,"Any other games that use in-game currency/tokens to play and can reward the same currency through gameplay. || Gambling themes || Playable bingo games || Playable casino games, lotteries, or racetrack betting || __NONE__ || __INACTIVE__ || __NOT_APPLICABLE__",__INACTIVE__=branch inactive; __NOT_APPLICABLE__=question not used by category; __NONE__=active checkbox with no selection.,Please select all that the game includes:
answer__please_select_all_that_the_game_includes_a522854d,raw_feature_candidate,categorical string,no,questionStates.options[selected=true],please_select_all_that_the_game_includes_a522854d,checkbox,Game,Horrifying elements || Scary elements || __NONE__ || __INACTIVE__ || __NOT_APPLICABLE__,__INACTIVE__=branch inactive; __NOT_APPLICABLE__=question not used by category; __NONE__=active checkbox with no selection.,Please select all that the game includes:
answer__please_select_all_that_the_game_includes_ba1c8db3,raw_feature_candidate,categorical string,no,questionStates.options[selected=true],please_select_all_that_the_game_includes_ba1c8db3,checkbox,Game,Alcohol || Fantasy Drugs || Illegal or Recreational Drugs || Medical Drugs || Tobacco || __NONE__ || __INACTIVE__ || __NOT_APPLICABLE__,__INACTIVE__=branch inactive; __NOT_APPLICABLE__=question not used by category; __NONE__=active checkbox with no selection.,Please select all that the game includes:
answer__please_select_all_that_the_game_includes_c2929670,raw_feature_candidate,categorical string,no,questionStates.options[selected=true],please_select_all_that_the_game_includes_c2929670,checkbox,Game,Nudity || Revealing Outfits || __NONE__ || __INACTIVE__ || __NOT_APPLICABLE__,__INACTIVE__=branch inactive; __NOT_APPLICABLE__=question not used by category; __NONE__=active checkbox with no selection.,Please select all that the game includes:
answer__tobacco_5dc1a9a7,raw_feature_candidate,categorical string,no,questionStates.options[selected=true],tobacco_5dc1a9a7,checkbox,All Other App Types || Game,Encourages/Glamorizes || Reference || Use || __NONE__ || __INACTIVE__ || __NOT_APPLICABLE__,__INACTIVE__=branch inactive; __NOT_APPLICABLE__=question not used by category; __NONE__=active checkbox with no selection.,Tobacco
answer__what_best_describes_this_type_of_blood_in_the_app_270691dd,raw_feature_candidate,categorical string,no,questionStates.options[selected=true],what_best_describes_this_type_of_blood_in_the_app_270691dd,radio,All Other App Types,Large or frequent || Small and infrequent || __INACTIVE__ || __NOT_APPLICABLE__,__INACTIVE__=branch inactive; __NOT_APPLICABLE__=question not used by category; __NONE__=active checkbox with no selection.,What best describes this type of blood in the app:
answer__what_best_describes_this_type_of_blood_in_the_game_7ee8e188,raw_feature_candidate,categorical string,no,questionStates.options[selected=true],what_best_describes_this_type_of_blood_in_the_game_7ee8e188,radio,Game,Large or frequent || Small and infrequent || __INACTIVE__ || __NOT_APPLICABLE__,__INACTIVE__=branch inactive; __NOT_APPLICABLE__=question not used by category; __NONE__=active checkbox with no selection.,What best describes this type of blood in the game:
answer__what_bodily_functions_are_used_for_humorous_purposes_in__93ae31fe,raw_feature_candidate,categorical string,no,questionStates.options[selected=true],what_bodily_functions_are_used_for_humorous_purposes_in__93ae31fe,checkbox,All Other App Types,"Act of human defecation visually depicted || Flatulence (with depiction of ""flatulence cloud""), whimsical depictions of feces (""poo coils""), vomiting || Mucus, belching, flatulence sounds || Urination, urine, realistically depicted feces || __NONE__ || __INACTIVE__ || __NOT_APPLICABLE__",__INACTIVE__=branch inactive; __NOT_APPLICABLE__=question not used by category; __NONE__=active checkbox with no selection.,What bodily functions are used for humorous purposes in the app? Please check all that apply.
answer__what_bodily_functions_are_used_for_humorous_purposes_in__dac843c1,raw_feature_candidate,categorical string,no,questionStates.options[selected=true],what_bodily_functions_are_used_for_humorous_purposes_in__dac843c1,checkbox,Game,"Act of human defecation visually depicted || Flatulence (with depiction of ""flatulence cloud""), whimsical depictions of feces (""poo coils""), vomiting || Mucus, belching, flatulence sounds || Urination, urine, realistically depicted feces || __NONE__ || __INACTIVE__ || __NOT_APPLICABLE__",__INACTIVE__=branch inactive; __NOT_APPLICABLE__=question not used by category; __NONE__=active checkbox with no selection.,What bodily functions are used for humorous purposes in the game? Please check all that apply.
answer__what_is_the_duration_of_these_scenes_ebc5ddb7,raw_feature_candidate,categorical string,no,questionStates.options[selected=true],what_is_the_duration_of_these_scenes_ebc5ddb7,radio,All Other App Types || Game,Brief || Prolonged || __INACTIVE__ || __NOT_APPLICABLE__,__INACTIVE__=branch inactive; __NOT_APPLICABLE__=question not used by category; __NONE__=active checkbox with no selection.,What is the duration of these scenes?
answer__what_is_the_level_of_blood_and_or_gore_associated_with_t_11d6d7cc,raw_feature_candidate,categorical string,no,questionStates.options[selected=true],what_is_the_level_of_blood_and_or_gore_associated_with_t_11d6d7cc,radio,All Other App Types || Game,High || Mild/Limited || Moderate || None || __INACTIVE__ || __NOT_APPLICABLE__,__INACTIVE__=branch inactive; __NOT_APPLICABLE__=question not used by category; __NONE__=active checkbox with no selection.,What is the level of blood and/or gore associated with this violence?
answer__which_of_the_following_would_best_describe_the_app_6d1d2d7d,raw_feature_candidate,categorical string,no,questionStates.options[selected=true],which_of_the_following_would_best_describe_the_app_6d1d2d7d,radio,Social or Communication,"Communication - used to communicate with people already known to the user in one-on-one or small group conversations. Skype, SMS, and Gmail are examples of these types of products. || Social - used to communicate, post, and share content with large groups of people or for meeting new people. Facebook, Twitter, Instagram, Tinder are examples of these types of products. || __INACTIVE__ || __NOT_APPLICABLE__",__INACTIVE__=branch inactive; __NOT_APPLICABLE__=question not used by category; __NONE__=active checkbox with no selection.,Which of the following would best describe the app?
rating__australia,raw_target_candidate,categorical string,no,ratings[territory=Australia].label,,,Game,General || Mature || Parental Guidance || Refused Classification || Restricted to 15+ || Restricted to 18+ || __NOT_APPLICABLE__,__NOT_APPLICABLE__=territory is not returned for non-Game categories.,Raw age rating label for Australia; label encoding belongs to task 4.
rating__brazil,raw_target_candidate,categorical string,no,ratings[territory=Brazil].label,,,All Other App Types || Game || Social or Communication,All ages || Rated 10+ || Rated 12+ || Rated 14+ || Rated 16+ || Rated 18+,,Raw age rating label for Brazil; label encoding belongs to task 4.
rating__europe,raw_target_candidate,categorical string,no,ratings[territory=Europe].label,,,All Other App Types || Game || Social or Communication,PEGI 12 || PEGI 16 || PEGI 18 || PEGI 3 || PEGI 7 || Parental guidance,,Raw age rating label for Europe; label encoding belongs to task 4.
rating__germany,raw_target_candidate,categorical string,no,ratings[territory=Germany].label,,,All Other App Types || Game || Social or Communication,USK: Ages 12+ || USK: Ages 16+ || USK: Ages 18+ || USK: Ages 6+ || USK: All ages,,Raw age rating label for Germany; label encoding belongs to task 4.
rating__north_america,raw_target_candidate,categorical string,no,ratings[territory=North America].label,,,All Other App Types || Game || Social or Communication,Adults only 18+ || Everyone || Everyone 10+ || Mature 17+ || Teen,,Raw age rating label for North America; label encoding belongs to task 4.
rating__rest_of_world,raw_target_candidate,categorical string,no,ratings[territory=Rest of world].label,,,All Other App Types || Game || Social or Communication,Rated for 12+ || Rated for 16+ || Rated for 18+ || Rated for 3+ || Rated for 7+,,Raw age rating label for Rest of world; label encoding belongs to task 4.
rating__russia,raw_target_candidate,categorical string,no,ratings[territory=Russia].label,,,All Other App Types || Game || Social or Communication,Rated for 12+ || Rated for 16+ || Rated for 18+ || Rated for 3+ || Rated for 7+,,Raw age rating label for Russia; label encoding belongs to task 4.
rating__saudi_arabia,raw_target_candidate,categorical string,no,ratings[territory=Saudi Arabia].label,,,Game,12 || 16 || 18 || 3 || 7 || Refused Classification || __NOT_APPLICABLE__,__NOT_APPLICABLE__=territory is not returned for non-Game categories.,Raw age rating label for Saudi Arabia; label encoding belongs to task 4.
rating__south_korea,raw_target_candidate,categorical string,no,ratings[territory=South Korea].label,,,All Other App Types || Game || Social or Communication,12+ || 15+ || All ages || Rated for 12+ || Rated for 16+ || Rated for 19+ || Rated for 3+ || Rated for 7+ || Refused Classification,,Raw age rating label for South Korea; label encoding belongs to task 4.
rating__taiwan,raw_target_candidate,categorical string,no,ratings[territory=Taiwan].label,,,Game,General Public || Parental Guidance 12 || Parental Guidance 15 || Protected || Refused Classification || Restricted || __NOT_APPLICABLE__,__NOT_APPLICABLE__=territory is not returned for non-Game categories.,Raw age rating label for Taiwan; label encoding belongs to task 4.
